iter	Passed	Remaining
407	5644	22026
408	5658	22010
409	5675	22010
410	5689	21997
411	5702	21978
412	5715	21963
413	5729	21948
414	5742	21932
415	5755	21916
416	5768	21898
417	5781	21882
418	5794	21865
419	5808	21849
420	5821	21833
421	5834	21818
422	5848	21802
423	5862	21792
424	5877	21780
425	5890	21765
426	5904	21751
427	5918	21737
428	5932	21723
429	5944	21705
430	5958	21690
431	5971	21674
432	5984	21656
433	5997	21640
434	6009	21622
435	6023	21607
436	6038	21598
437	6053	21588
438	6067	21575
439	6080	21558
440	6093	21542
441	6106	21526
442	6120	21510
443	6134	21497
444	6147	21480
445	6161	21466
446	6174	21451
447	6187	21434
448	6200	21419
449	6213	21402
450	6227	21390
451	6242	21380
452	6256	21367
453	6269	21349
454	6282	21332
455	6295	21317
456	6309	21301
457	6322	21286
458	6335	21270
459	6348	21253
460	6362	21240
461	6375	21224
462	6388	21209
463	6404	21200
464	6418	21188
465	6431	21172
466	6445	21157
467	6458	21143
468	6472	21129
469	6486	21116
470	6500	21103
471	6513	21086
472	6526	21070
473	6539	21054
474	6553	21039
475	6566	21022
476	6582	21016
477	6598	21009
478	6613	20999
479	6628	20990
480	6641	20975
481	6655	20961
482	6669	20947
483	6682	20931
484	6695	20915
485	6708	20899
486	6721	20882
487	6735	20867
488	6748	20852
489	6763	20842
490	6778	20833
491	6792	20818
492	6805	20804
493	6818	20787
494	6831	20771
495	6845	20757
496	6858	20741
497	6872	20727
498	6885	20710
499	6897	20693
500	6910	20677
501	6924	20662
502	6937	20647
503	6952	20635
504	6966	20623
505	6979	20607
506	6992	20592
507	7006	20577
508	7019	20562
509	7034	20550
510	7046	20533
511	7059	20516
512	7072	20501
513	7085	20484
514	7098	20467
515	7110	20450
516	7126	20442
517	7140	20430
518	7154	20416
519	7168	20402
520	7181	20385
521	7194	20371
522	7208	20356
523	7220	20339
524	7234	20325
525	7247	20310
526	7260	20294
527	7273	20278
528	7286	20262
529	7300	20247
530	7315	20237
531	7329	20226
532	7343	20212
533	7357	20198
534	7364	20167
535	7378	20151
536	7391	20136
537	7404	20121
538	7417	20104
539	7431	20091
540	7444	20076
541	7458	20063
542	7471	20048
543	7485	20034
544	7501	20026
545	7515	20012
546	7528	19997
547	7542	19985
548	7556	19973
549	7570	19957
550	7583	19942
551	7595	19925
552	7608	19909
553	7621	19894
554	7635	19878
555	7648	19864
556	7661	19849
557	7676	19837
558	7690	19825
559	7704	19810
560	7717	19796
561	7731	19781
562	7751	19784
563	7766	19773
564	7781	19764
565	7796	19752
566	7811	19741
567	7825	19729
568	7840	19717
569	7859	19718
570	7875	19709
571	7889	19695
572	7904	19685
573	7919	19675
574	7934	19664
575	7948	19651
576	7962	19637
577	7976	19624
578	7992	19615
579	8007	19603
580	8021	19591
581	8037	19583
